@relation letter-recognition-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute lettr {T,I,D,N,G,S,B,A,J,M,X,O,R,F,C,H,W,L,P,E,V,Y,Q,U,K,Z}
@attribute ' x_box' numeric
@attribute ' y_box' numeric
@attribute ' width' numeric
@attribute ' high' numeric
@attribute ' onpix' numeric
@attribute ' x_bar' numeric
@attribute ' y_bar' numeric
@attribute ' x2bar' numeric
@attribute ' y2bar' numeric
@attribute ' xybar' numeric
@attribute ' x2ybr' numeric
@attribute ' xy2br' numeric
@attribute ' x_ege' numeric
@attribute ' xegvy' numeric
@attribute ' y_ege' numeric
@attribute ' yegvx' numeric

@data
T,0.133333,0.533333,0.2,0.333333,0.066667,0.533333,0.866667,0,0.4,0.4,0.666667,0.533333,0,0.533333,0,8
I,0.333333,0.8,0.2,0.466667,0.133333,0.666667,0.333333,0.333333,0.266667,0.866667,0.2,0.6,0.133333,0.533333,0.266667,10
D,0.266667,0.733333,0.4,0.533333,0.4,0.666667,0.4,0.133333,0.4,0.666667,0.2,0.466667,0.2,0.466667,0.2,9
N,0.466667,0.733333,0.4,0.4,0.2,0.333333,0.6,0.266667,0.4,0.266667,0.266667,0.666667,0.4,0.666667,0.133333,8
G,0.133333,0.066667,0.2,0.066667,0.066667,0.533333,0.4,0.4,0.4,0.4,0.333333,0.6,0.066667,0.466667,0.333333,10
S,0.266667,0.733333,0.333333,0.533333,0.2,0.533333,0.533333,0.4,0.6,0.333333,0.4,0.4,0,0.533333,0.6,7
B,0.266667,0.133333,0.333333,0.266667,0.266667,0.533333,0.466667,0.4,0.4,0.466667,0.4,0.4,0.133333,0.533333,0.466667,10
A,0.066667,0.066667,0.2,0.133333,0.066667,0.533333,0.133333,0.133333,0.133333,0.533333,0.133333,0.533333,0.066667,0.4,0.133333,7
J,0.133333,0.133333,0.266667,0.266667,0.133333,0.666667,0.4,0.133333,0.4,0.8,0.266667,0.533333,0.066667,0.4,0.066667,7
M,0.733333,1,0.866667,0.6,0.466667,0.866667,0.133333,0.4,0.133333,0.8,0.066667,0.6,0.533333,0.066667,0.066667,8
X,0.2,0.6,0.333333,0.466667,0.266667,0.533333,0.466667,0.2,0.533333,0.333333,0.4,0.533333,0.133333,0.533333,0.4,7
O,0.4,0.866667,0.266667,0.466667,0.266667,0.4,0.466667,0.4,0.2,0.666667,0.466667,0.6,0.333333,0.6,0.333333,8
